id,cluster_id
FKID000823,32
FKID000824,39
FKID000825,6
FKID000826,12
FKID000827,12
FKID000828,10
FKID000829,12
FKID000830,75
FKID000831,0
FKID000832,80
FKID000833,0
FKID000834,80
FKID000835,9
FKID000836,-1
FKID000837,-1
FKID000838,75
FKID000839,6
FKID000840,12
FKID000841,32
FKID000842,0
FKID000843,-1
FKID000844,69
FKID000845,4
FKID000846,-1
FKID000847,32
FKID000848,15
FKID000849,12
FKID000850,32
FKID000851,-1
FKID000852,7
FKID000853,7
FKID000854,12
FKID000855,15
FKID000856,12
FKID000857,12
FKID000858,-1
FKID000859,66
FKID000860,80
FKID000861,80
FKID000862,80
FKID000863,32
FKID000864,12
FKID000865,12
FKID000866,12
FKID000867,24
FKID000868,12
FKID000869,0
FKID000870,0
FKID000871,71
FKID000872,78
FKID000873,12
FKID000874,-1
FKID000875,-1
FKID000876,78
FKID000877,78
FKID000878,132
FKID000879,12
FKID000880,12
FKID000881,78
FKID000882,4
FKID000883,38
FKID000884,78
FKID000885,12
FKID000886,-1
FKID000887,78
FKID000888,12
FKID000889,12
FKID000890,78
FKID000891,78
FKID000892,0
FKID000893,15
FKID000894,71
FKID000895,32
FKID000896,32
FKID000897,19
FKID000898,19
FKID000899,71
FKID000900,-1
FKID000901,-1
FKID000902,-1
FKID000903,110
FKID000904,0
FKID000905,19
FKID000906,0
FKID000907,19
FKID000908,-1
FKID000909,-1
FKID000910,106
FKID000911,-1
FKID000912,-1
FKID000913,-1
FKID000914,32
FKID000915,32
FKID000916,0
FKID000917,19
FKID000918,-1
FKID000919,-1
FKID000920,12
FKID000921,32
FKID000922,7
FKID000923,7
FKID000924,-1
FKID000925,0
FKID000926,19
FKID000927,-1
FKID000928,32
FKID000929,32
FKID000930,32
FKID000931,7
FKID000932,19
FKID000933,7
FKID000934,7
FKID000935,32
FKID000936,19
FKID000937,6
FKID000938,6
FKID000939,6
FKID000940,32
FKID000941,6
FKID000942,6
FKID000943,6
FKID000944,6
FKID000945,32
FKID000946,56
FKID000947,-1
FKID000948,56
FKID000949,-1
FKID000950,-1
FKID000951,-1
FKID000952,-1
FKID000953,57
FKID000954,32
FKID000955,9
FKID000956,-1
FKID000957,57
FKID000958,-1
FKID000959,-1
FKID000960,51
FKID000961,32
FKID000962,51
FKID000963,12
FKID000964,-1
FKID000965,12
FKID000966,147
FKID000967,12
FKID000968,19
FKID000969,32
FKID000970,84
FKID000971,42
FKID000972,32
FKID000973,-1
FKID000974,32
FKID000975,12
FKID000976,83
FKID000977,153
FKID000978,79
FKID000979,12
FKID000980,41
FKID000981,51
FKID000982,-1
FKID000983,-1
FKID000984,-1
FKID000985,-1
FKID000986,7
FKID000987,32
FKID000988,7
FKID000989,20
FKID000990,20
FKID000991,20
FKID000992,19
FKID000993,-1
FKID000994,-1
FKID000995,0
FKID000996,41
FKID000997,32
FKID000998,51
FKID000999,49
FKID001000,12
FKID001001,85
FKID001002,7
FKID001003,51
FKID001004,12
FKID001005,-1
FKID001006,51
FKID001007,-1
FKID001008,12
FKID001009,12
FKID001010,-1
FKID001011,20
FKID001012,12
FKID001013,32
FKID001014,0
FKID001015,12
FKID001016,20
FKID001017,20
FKID001018,12
FKID001019,12
FKID001020,12
FKID001021,12
FKID001022,12
FKID001023,12
FKID001024,12
FKID001025,20
FKID001026,20
FKID001027,20
FKID001028,20
FKID001029,32
FKID001030,20
FKID001031,-1
FKID001032,20
FKID001033,62
FKID001034,51
FKID001035,-1
FKID001036,20
FKID001037,20
FKID001038,32
FKID001039,-1
FKID001040,32
FKID001041,-1
FKID001042,32
FKID001043,12
FKID001044,32
FKID001045,32
FKID001046,-1
FKID001047,41
FKID001048,41
FKID001049,-1
FKID001050,20
FKID001051,12
FKID001052,-1
FKID001053,12
FKID001054,12
FKID001055,32
FKID001056,32
FKID001057,-1
FKID001058,-1
FKID001059,-1
FKID001060,32
FKID001061,-1
FKID001062,32
FKID001063,32
FKID001064,0
FKID001065,32
FKID001066,120
FKID001067,0
FKID001068,20
FKID001069,20
FKID001070,12
FKID001071,20
FKID001072,32
FKID001073,32
FKID001074,32
FKID001075,144
FKID001076,12
FKID001077,12
FKID001078,78
FKID001079,12
FKID001080,20
FKID001081,20
FKID001082,12
FKID001083,41
FKID001084,41
FKID001085,41
FKID001086,41
FKID001087,41
FKID001088,5
FKID001089,144
FKID001090,12
FKID001091,12
FKID001092,144
FKID001093,29
FKID001094,-1
FKID001095,32
FKID001096,-1
FKID001097,-1
FKID001098,144
FKID001099,12
FKID001100,32
FKID001101,144
FKID001102,-1
FKID001103,5
FKID001104,7
FKID001105,12
FKID001106,144
FKID001107,7
FKID001108,12
FKID001109,12
FKID001110,29
FKID001111,12
FKID001112,-1
FKID001113,12
FKID001114,84
FKID001115,32
FKID001116,84
FKID001117,32
FKID001118,32
FKID001119,0
FKID001120,7
FKID001121,-1
FKID001122,7
FKID001123,24
FKID001124,7
FKID001125,7
FKID001126,24
FKID001127,24
FKID001128,104
FKID001129,0
FKID001130,0
FKID001131,50
FKID001132,50
FKID001133,50
FKID001134,-1
FKID001135,-1
FKID001136,7
FKID001137,-1
FKID001138,7
FKID001139,-1
FKID001140,50
